system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr1,old_f_id,.geo
00000000000000000294,1049184000000,1059634800000,GER25,1640,LTG,553417200000,NR,550652400000,IFR,GER25_1987_1050,1987,Origin:NR,AP Approximate (to 500m),1195,46001135,0,0,1114671600000,0.4305086605140757,1050,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b8,1049184000000,1059634800000,GER30,211,LTG,553244400000,NR,551516400000,IFR,GER30_1987_1116,1987,Origin:NR,AP Approximate (to 500m),1267,46001136,0,0,1114671600000,0.3388812664460421,1116,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002d1,1049184000000,1059634800000,RED21,467,LTG,553244400000,NR,551257200000,IFR,RED21_1987_1151,1987,Origin:NR,AP Approximate (to 500m),1307,46001145,0,0,1114671600000,0.4580128437543793,1151,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002eb,1049184000000,1059634800000,FOR12,298,MIS,548665200000,NR,544348800000,IFR,FOR12_1987_1202,1987,Origin:NR,AP Approximate (to 500m),1363,46001125,0,0,1114671600000,0.5280452402147573,1202,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ed,1049184000000,1059634800000,HEA11,809,LTG,553676400000,NR,550998000000,IFR,HEA11_1987_1204,1987,Origin:NR,AP Approximate (to 500m),1365,46001139,0,0,1114671600000,0.36201267085314787,1204,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002f1,1049184000000,1059634800000,CHA12,7500,LTG,553158000000,NR,547542000000,IFR,CHA12_1987_1210,1987,Origin:NR,AP Approximate (to 500m),1371,46001121,0,0,1114671600000,0.5249398997410561,1210,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000032c,1049184000000,1059634800000,KAP12,232,RES,548924400000,NR,547887600000,IFR,KAP12_1987_1308,1987,Origin:NR,AP Approximate (to 500m),1478,46001142,0,0,1114671600000,0.6400836049147152,1308,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000346,1049184000000,1059634800000,RED22,1405,LTG,553849200000,NR,551257200000,IFR,RED22_1987_1346,1987,Origin:NR,AP Approximate (to 500m),1519,46001146,0,0,1114671600000,0.5631534923722579,1346,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000034e,1049184000000,1059634800000,SIO27,582,LTG,548665200000,NR,547369200000,IFR,SIO27_1987_1362,1987,Origin:NR,AP Approximate (to 500m),1535,46001151,0,0,1114671600000,0.4726242855698044,1362,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000038e,1049184000000,1059634800000,CHA32,220,MIS,558342000000,NR,554799600000,IFR,CHA32_1987_1474,1987,Origin:NR,AP Approximate (to 500m),1664,46001122,0,0,1114671600000,0.3249206814309136,1474,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,1049184000000,1059634800000,COC3,605,REC,582793200000,NR,582015600000,IFR,COC3_1988_79,1988,Origin:NR,AP Approximate (to 500m),101,46001156,0,0,1114671600000,0.35285221478293693,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,1049184000000,1059634800000,SIO196,450,LTG,589618800000,NR,587631600000,IFR,SIO196_1988_118,1988,Origin:NR,AP Approximate (to 500m),153,46001224,0,0,1114671600000,0.20660207272316797,118,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,1049184000000,1059634800000,SIO100,12900,LTG,589014000000,NR,582015600000,IFR,SIO100_1988_128,1988,Origin:NR,AP Approximate (to 500m),164,46001214,0,0,1114671600000,0.48260995941569224,128,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,1049184000000,1059634800000,RED35,14500,LTG,584434800000,NR,580978800000,IFR,RED35_1988_144,1988,Origin:NR,AP Approximate (to 500m),186,46001203,0,0,1114671600000,0.30638036122541956,144,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,1049184000000,1059634800000,TER6,270,LTG,584434800000,NR,581583600000,IFR,TER6_1988_220,1988,Origin:NR,AP Approximate (to 500m),274,46001232,0,0,1114671600000,0.46802105181616155,220,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,1049184000000,1059634800000,ESP16,274,LTG,586249200000,NR,582793200000,IFR,ESP16_1988_225,1988,Origin:NR,AP Approximate (to 500m),282,46001157,0,0,1114671600000,0.5046224182574054,225,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6,1049184000000,1059634800000,RED230,200,LTG,584694000000,NR,582793200000,IFR,RED230_1988_277,1988,Origin:NR,AP Approximate (to 500m),340,46001184,0,0,1114671600000,0.1894867215451605,277,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e1,1049184000000,1059634800000,SIO109,5700,LTG,589532400000,NR,583225200000,IFR,SIO109_1988_304,1988,Origin:NR,AP Approximate (to 500m),370,46001216,0,0,1114671600000,0.3891267881700709,304,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f0,1049184000000,1059634800000,RED99,1340,LTG,585385200000,NR,581756400000,IFR,RED99_1988_326,1988,Origin:NR,AP Approximate (to 500m),395,46001213,0,0,1114671600000,0.24120471415228179,326,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,1049184000000,1059634800000,RED19,4800,LTG,585385200000,NR,580806000000,IFR,RED19_1988_341,1988,Origin:NR,AP Approximate (to 500m),411,46001178,0,0,1114671600000,0.17211016300465143,341,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe,1049184000000,1059634800000,SIO71,680,LTG,582706800000,NR,581929200000,IFR,SIO71_1988_343,1988,Origin:NR,AP Approximate (to 500m),413,46001228,0,0,1114671600000,0.5068569681548387,343,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000110,1049184000000,1059634800000,SIO139,3073,LTG,590050800000,NR,586940400000,IFR,SIO139_1988_371,1988,Origin:NR,AP Approximate (to 500m),442,46001220,0,0,1114671600000,0.3984734356368204,371,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000011c,1049184000000,1059634800000,TIM5,270,RES,584521200000,NR,581410800000,IFR,TIM5_1988_390,1988,Origin:NR,AP Approximate (to 500m),462,46001237,0,0,1114671600000,0.48460040193399834,390,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000127,1049184000000,1059634800000,RED390,202,LTG,588322800000,NR,587631600000,IFR,RED390_1988_415,1988,Origin:NR,AP Approximate (to 500m),489,46001209,0,0,1114671600000,0.47961582062940883,415,"{""type"":""MultiPoint"",""coordinates"":[]}"
