system:index,BUSINESS_E,EFFECTIVE_,FIRE_DISTU,FIRE_FINAL,FIRE_GENER,FIRE_OUT_D,FIRE_RESPO,FIRE_START,FIRE_TYPE_,Fire_ID,Fire_Year,GENERAL_CO,LOCATION_A,OBJECTID,OGF_ID,SHAPEAREA,SHAPELEN,SYSTEM_DAT,nbr10,nbr2,nbr3,nbr4,nbr5,nbr6,nbr7,nbr8,nbr9,old_f_id,preNBR,.geo
00000000000000000436,1175497200000,1175497200000,SLK42,40,LTG,1155711600000,MON,1152860400000,IFR,SLK42_2006_1675,2006,,Within 10 metres,1904,67527629,0,0,1176188400000,0.47937720042700477,0.5014920600130791,0.4350902138924014,0.4848191495164935,0.46827540561101144,0.5098414684930309,0.4472369287233645,0.4580447432996157,0.44052354629734725,1675,0.47072559895942484,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000433,1175497200000,1175497200000,SLK40,68,LTG,1155711600000,MON,1152946800000,IFR,SLK40_2006_1672,2006,,Within 10 metres,1901,67527626,0,0,1176188400000,0.474757424858554,0.45246282552450645,0.49202588535465863,0.48446856245158565,0.4559741311478538,0.4545934503286358,0.48174505914878524,0.5134729411214649,0.4176873313223817,1672,0.6042156025385205,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000043f,1175497200000,1175497200000,NIP81,56,LTG,1154588400000,FUL,1152946800000,IFR,NIP81_2006_1684,2006,,Within 10 metres,1913,67527654,0,0,1176188400000,0.49888090064411905,0.32579956994511783,0.42291428574708384,0.4049794073146273,0.3949044284052983,0.5046564764325788,0.3716440040978288,0.4756033119640613,0.5218749274438776,1684,0.4439565770069096,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000434,1175497200000,1175497200000,RED69,100,LTG,1156057200000,MON,1153206000000,IFR,RED69_2006_1673,2006,,Within 10 metres,1902,67527627,0,0,1176188400000,0.5403414320348875,0.4874027145426501,0.5241768315586485,0.5415591666593172,0.5056719874666525,0.5415732040878389,0.5054182182508525,0.5432573970818066,0.49829565697916833,1673,0.612640133272199,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000041e,1175497200000,1175497200000,NIP108,42,LTG,1154674800000,FUL,1153206000000,IFR,NIP108_2006_1651,2006,,Within 10 metres,1877,67527682,0,0,1176188400000,0.5479825636499263,0.481305210129184,0.5309386643756122,0.5783177652407191,0.5846241322554111,,0.46359048933287467,0.6234032190617235,0.5714131945187869,1651,0.5515151346531466,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000441,1175497200000,1175497200000,COC34,60,LTG,1155711600000,FUL,1154588400000,IFR,COC34_2006_1686,2006,,Within 10 metres,1915,67527656,0,0,1176188400000,0.47659086502598313,0.3636328078256303,0.40144906941460545,0.40997790440606785,0.4284533560315793,0.456361871931063,0.4317466216534099,0.46165905694481146,0.4954833093351553,1686,0.5636418826852341,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003e3,1175497200000,1175497200000,NIP151,69,LTG,1156489200000,FUL,1154847600000,IFR,NIP151_2006_1592,2006,,Within 100 metres,1816,67527605,0,0,1176188400000,0.5579575822988871,0.4388022788328325,0.5251126938838568,0.5039197503570361,0.5071871452254223,0.5775079598090129,0.48343400327405106,0.5298457636913271,0.5195322194324602,1592,0.4252151463269435,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000408,1175497200000,1175497200000,RED113,9274,LTG,1162281600000,MON,1155106800000,IFR,RED113_2006_1629,2006,,Within 10 metres,1855,67527641,0,0,1176188400000,0.44672699121093207,0.30242401779022654,0.3493784503331324,0.4343355279761142,0.3715411345513619,0.36618751622796986,0.3811256161855934,0.40904941913441234,0.43783420241748155,1629,0.5189608228386037,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000003d7,1175497200000,1175497200000,NIP189,1295,LTG,1164009600000,MON,1155279600000,IFR,NIP189_2006_1580,2006,,Within 10 metres,1795,67527649,0,0,1176188400000,0.44791356129744553,0.33924640108649834,0.44288893006380126,0.38317278361104334,0.39776193347607636,0.44764401454769803,0.3348875076240739,0.4560975069165624,0.45955098159302543,1580,0.45215581952545947,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000407,1175497200000,1175497200000,RED146,18987,LTG,1162281600000,MON,1156143600000,IFR,RED146_2006_1628,2006,,Within 10 metres,1854,67527640,0,0,1176188400000,0.43896826933958416,0.3401499494007927,0.3417743687512982,0.4319564628953728,0.39639814135156753,0.3960518724367715,0.3713252703241088,0.41985522495449373,0.4411937322607276,1628,0.49990510427157603,"{""type"":""MultiPoint"",""coordinates"":[]}"
