"","id","fire_name","sens1","sens2","uppr1","uppr2","lwr1","lwr2","sens10","uppr10","lwr10"
"31",31,"SLK11_2007_1658",10.6154793633284,23.6971186115477,20.2055516786182,51.5253021250987,3.12077200459376,-12.9474690905824,11.7654374366253,15.02751686873,8.66350694580087
"32",32,"SAU4_1998_335",-23.7162536443017,-1.24950087207661,42.4806510258818,39.6401105908786,-77.436921643784,-79.8177478990286,-7.19848523799856,2.84239066429658,-17.4781353089511
"33",33,"SLK1_2012_1847",1.55929410098995,1.91498951160759,76.5213187748858,49.8959014298668,-51.4102325650412,-25.9095746105471,0.545833770506325,4.63979589222299,-11.8341853853252
"34",34,"RED7_1986_119",15.1757284941799,11.038104504989,51.1461818813145,65.1569919580419,-19.0916451717109,-62.5516255343713,9.42228075216955,15.5851008977899,0.226715849866059
"35",35,"TER7_1986_83",-8.20000750131259,1.76350602606163,80.6899095884732,114.155119333323,-62.9395102521473,-96.4439616438978,6.7721796270972,14.7637298827902,-6.86698031734051
"36",36,"FOR13_1987_316",-11.5769130365772,-18.0743174741521,59.4454060434169,28.3613534983161,-20.1928987140333,-22.454713004938,-3.90549793447166,4.13569824490416,-11.2078682669611
"37",37,"IGN9_1987_492",2.71999144287884,9.45535035186929,42.499749372546,59.6158232146116,-25.7028457006006,-5.93414548726747,4.19143073818426,11.6370330718356,-0.963327992653893
"38",38,"RED208_1988_862",-4.22569741048656,6.17760698435036,65.5563737574826,78.4962749525742,-16.5998269102278,-45.6309179403318,1.77859725246786,8.9572763403576,-7.61967979831717
"39",39,"THU130_1991_1263",12.170851011383,0.85977398663314,63.6243326063772,36.452422282481,-21.0883030547986,-43.3801283307622,8.02037633101346,17.0950282741701,0.598433301810712
"40",40,"NIP9_1992_1122",-2.39625896457672,10.4086569788571,23.6488283746263,16.8065912995576,-15.1672203054441,-10.1992530620672,3.98394443312467,8.2760122052903,0.367315999508236
"41",41,"COC23_1995_1273",13.0860388118389,2.64236406945654,40.6173715044804,33.1490021875782,-17.4300032391839,-26.7637762284641,5.55374669075479,12.6889659065859,-0.869437488474176
"42",42,"COC38_1995_629",18.0618806715906,8.65952194167797,76.0651807140065,26.8499832963172,-27.1893798061129,-19.6956196810243,5.18465835581539,14.7513124046304,-0.438876928578518
"43",43,"NIP136_1995_1299",12.2881609310893,-4.82864277201968,27.2614209106552,50.041481181066,-6.28604390461828,-11.9188622520803,7.08356030728416,10.7876081055755,1.63122835385974
"44",44,"DRY27_1996_1121",3.54695397416531,36.7403597186863,90.3408929445666,56.8736282485727,-23.353736771673,-31.3926654836959,12.7404813824384,20.5442889753744,-0.457506869407003
"45",45,"NIP51_1996_620",22.3430168256099,4.30249703008706,38.5016685281316,47.2549747011103,3.45732305478921,-18.5875277214041,6.62483258670179,15.7908434876904,0.0587778809804433
"46",46,"SLK60_1996_884",7.94537777835176,16.3811675296628,50.5315040262695,43.8760639255933,-43.9754964695389,-39.0281618879461,4.8857725245782,12.6838308047812,-3.98125898700013
"47",47,"THU36_1996_1313",23.3686758089665,14.2640289687492,72.9353357428921,46.8771475833512,-26.5202593116761,-16.0211737521903,4.12772873195548,13.8760429864721,-5.78098358481092
"48",48,"THU74_1996_1129",16.219751456983,15.9426569918847,48.240711992512,32.3738871190615,-10.8111865222317,-43.1844478897534,6.36886022186248,14.131217969411,-0.970101997235093
"49",49,"COC16_1997_1038",3.7955680176085,16.0334719474442,20.7610583077658,32.8528434280552,-32.0869976784344,-13.8232082902336,5.36390568003068,12.2044801115644,-0.330941270031872
"50",50,"NIP230_1998_821",-9.4111614908337,11.4504070670942,6.24457812184127,52.8715502938379,-26.2037468161583,-13.8436060929075,3.98491755465465,10.9052833434044,-2.87175757260992
"51",51,"NIP56_1998_832",19.2373208730453,3.76671723438772,30.844069174431,27.411173720435,-62.0182970074988,-25.2395006626768,4.49733686245365,8.0266105709738,-3.01017414267113
"52",52,"SAU4_1998_335",-15.2667368928231,-8.69800146564951,54.589957364438,10.5378469901252,-53.5483537294558,-66.4098285859193,-2.8199158379052,4.27327764089783,-12.7056683698259
"53",53,"THU71_1998_684",-5.19347409212799,12.0429123918948,70.5918953139395,62.2315895405764,-49.9532786411333,-26.3538475491914,9.66166369504916,16.4683031055156,-0.321729617575995
"54",54,"PEM4_1999_1091",-4.96488021895451,-2.97890222520185,33.2995992644388,6.24690896736519,-30.7569940130127,-13.5208539171975,1.085540208459,5.43830363071105,-2.64986710034469
"55",55,"PEM8_1999_1450",3.14580011485372,-0.456550929443075,14.7199442660675,46.7804000519949,-2.413422995421,-46.9091235770782,3.47624499240182,6.15326063532326,1.54349927431495
"56",56,"RED58_1999_677",8.80595894740857,6.21618952307249,56.8630243067181,37.5734503908192,-5.76444440907477,-22.3483000764339,6.53469052214372,9.96446378852646,2.03329577976516
"57",57,"NIP44_2000_29",-6.9123848002628,8.95232697470027,20.6644443211842,18.3371456232519,-34.1792659654185,4.2327052152533,7.27153353649449,11.2849254192526,1.96125464676935
"58",58,"RED62_2002_93",-7.57242489168849,12.5167043087323,36.1112960585399,74.00357822149,-10.2862359697291,-88.9731401082658,6.35231057007005,13.966622270646,-5.33276631991383
"59",59,"NIP20_2005_1521",10.7751596019286,15.057676709976,32.6341704655621,51.4334937665201,5.74211045152043,-9.75077924282888,8.35254720736151,10.9629839632026,5.74211045152043
"60",60,"THU142_2006_1634",12.3413247384945,13.7665131986842,84.7381670799966,39.5656583995928,-41.3994921934814,-14.2733837939621,9.2571227459994,14.2220086249027,2.8768998295263
"61",61,"THU144_2006_1638",10.9285019727435,2.73430440834328,82.6012165304102,48.3173947422866,-40.9860692956216,-39.7985540732629,4.25942033451189,12.81497302545,0.150474939197949
"62",62,"SLK11_2007_1658",5.57126365332753,22.1466134632822,17.0607168029605,35.6013558077825,-10.3242795527234,-13.183370126504,8.54418964035241,14.8647793837541,3.6461984553619
"63",63,"THU37_2007_1662",0.56039357561438,-5.36219155976288,16.0855875370897,57.3603075892332,-9.34866019738158,-25.911451212946,3.6019856717832,6.6354852810997,-0.576781843652071
"64",64,"RED25_2010_1756",4.50669742246343,-33.596912960686,42.8457632921501,103.595176311111,-27.1629283043275,-41.6989845222461,-0.710510975430923,10.6169459027966,-8.99681957384259
"65",65,"CHA8_2012_1924",-2.4325014176893,-10.2054579547237,45.619690665145,28.3282767053178,-37.5613204157572,-50.655303989908,-7.55205289533072,-1.23760747382279,-13.6758609812494
"66",66,"SLK1_2012_1847",6.15687652003758,1.51475162949444,62.6649081434011,46.1027259607446,-25.8540113704481,-57.1081403063443,0.443913799319944,6.01114726020683,-4.85934300374193
